City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,talnakh,69.4865,88.3972,-17.15,93,97,2.67,RU,1681933949
168,hermanus,-34.4187,19.2345,14.33,76,99,2.23,ZA,1681934150
169,afaahiti,-17.75,-149.2833,29.93,80,100,8.17,PF,1681934150
170,namibe,-15.1961,12.1522,25.65,71,45,2.65,AO,1681934150
171,makarov,48.6333,142.8,1.75,87,5,3.38,RU,1681934151
172,galvan,18.5023,-71.3427,29.77,37,2,5.83,DO,1681934151
173,kagizman,40.1567,43.1342,8.15,65,100,2.37,TR,1681934151
174,tevriz,57.509,72.4042,-2.93,66,53,2.08,RU,1681934151
175,kiamba,5.9894,124.6242,25.79,87,23,0.47,PH,1681934152
176,newman,37.3138,-121.0208,17.35,44,1,4.02,US,1681934032
177,nemuro,43.3236,145.575,3.53,93,92,3.14,JP,1681934152
178,ta`u,-14.2336,-169.5144,28.39,76,98,8.63,AS,1681934152
179,hassi messaoud,31.6804,6.0729,34.92,7,40,2.57,DZ,1681934153
180,zhangjiakou,40.81,114.8794,11.4,35,100,5.54,CN,1681934154
181,palikir - national government center,6.9248,158.1611,24.41,94,100,4.63,FM,1681934155
182,tsiombe,-25.3,45.4833,23.24,90,97,5.6,MG,1681934155
183,badger,64.8,-147.5333,0.45,49,40,3.09,US,1681934156
184,saint-philippe,-21.3585,55.7679,24.77,85,31,5.72,RE,1681934156
185,prineville,44.2999,-120.8345,9.17,50,75,3.6,US,1681934157
186,woolgoolga,-30.1106,153.2007,17.93,78,89,5.82,AU,1681934157
187,broome,42.2506,-75.833,13.38,57,20,5.14,US,1681934157
188,sitka,57.0531,-135.33,9.94,46,40,3.09,US,1681933952
189,zaozersk,69.4005,32.4476,2.87,93,100,8.46,RU,1681934158
190,holualoa,19.6228,-155.9522,22.91,94,100,10.8,US,1681934158
191,half moon bay,37.4636,-122.4286,18.01,52,0,7.2,US,1681934021
192,lodwar,3.1191,35.5973,30.48,47,19,6.4,KE,1681934159
193,plouzane,48.3833,-4.6167,14.03,82,0,3.09,FR,1681934159
194,santa ana de yacuma,-13.75,-65.4333,32.97,58,75,5.14,BO,1681934160
195,strezhevoy,60.7333,77.5889,-2.72,96,98,3.77,RU,1681934160
196,mitu,1.1983,-70.1733,28.81,77,100,1.61,CO,1681934160
197,kodinsk,58.6881,99.1844,-8.46,93,100,3.15,RU,1681934160
198,vikulovo,56.8167,70.6107,-1.6,60,77,1.84,RU,1681934161
199,nizhnyaya poyma,56.1622,97.1933,-7.1,79,100,3.8,RU,1681934161
200,santa cruz del sur,20.7147,-77.9956,29.37,58,33,3.76,CU,1681934161
201,wewak,-3.5534,143.6268,25.38,89,100,2.41,PG,1681934162
202,benjamin aceval,-24.9667,-57.5667,26.08,49,28,3.64,PY,1681934163
203,kapa'a,22.0752,-159.319,26.72,68,20,3.6,US,1681934030
